1,62.5,F,21,135,0
2,68,F,20,160,0
3,79,M,19,180,0
4,73,M,21,165,1
5,66.5,M,22,125,0
6,72,M,19,170,0
7,72,M,20,200,0
8,67,M,20,145,0
9,66,F,20,115,0
10,71,M,24,170,0
11,64,F,21,130,0
12,70,F,22,137,1
13,64,F,20,125,0
14,73,M,22,180,0
15,63,F,19,135,0
16,70,M,18,160,0
17,64,F,20,125,0
18,72,M,22,160,0
19,66,F,21,150,0
20,73,M,19,155,0
21,76,M,19,130,0
22,68,M,21,156,0
23,71,M,20,170,0
24,65,M,18,150,0
25,,F,18,,1
26,74,M,18,175,0
27,70,M,19,152,0
28,63,F,18,118,0
29,65.5,M,19,125,0
30,64,F,20,120,0
31,,,,,
32,,M,,,
33,,F,,,
34,65,F,19,300,0
35,72,M,19,155,0
36,72,M,18,149,0
37,71,M,18,156,0
38,61,F,18,118,0
39,62,F,19,115,0
40,68,M,18,175,0
41,68,F,19,145,0
42,65,M,18,140,
43,67,M,20,150,0
44,64,F,18,135,0
45,68,F,48,145,0
46,74,M,52,240,0
47,66,F,18,130,0
48,71,M,21,170,0
49,61,M,49,170,0
50,71,M,19,140,0
51,64,F,49,135,0
52,69,M,51,220,0
53,73,M,54,195,0
54,62.5,F,18,145,0
55,72,M,21,215,1
56,67,F,19,120,0
57,66,F,20,125,0
58,62,F,21,,0
59,68,M,21,160,0
60,70,M,21,195,0
61,61,F,20,,0
62,68,F,21,,0
63,69.5,M,21,230,0
64,72,M,21,165,0
65,64,F,20,120,0
66,71,M,21,130,0
67,71,M,19,165,0
68,68,M,47,200,0
69,75,M,39,195,0
70,66,F,22,140,0
71,70,M,19,150,0
72,72,M,18,205,0
73,67,M,18,155,0
74,65,F,20,126,0
75,62,F,19,150,0
76,71,F,18,160,0
77,65,F,20,138,0
78,65,F,19,130,0
79,65,F,20,130,0
80,72,M,21,150,0
81,63,F,18,,1
82,63,F,18,160,0
83,73,M,21,178,0
84,65,F,20,145,0
85,60,F,18,120,0
86,67,F,19,,0
87,69,M,20,175,0
88,73,M,20,190,0
89,73,F,20,195,0
90,64,F,20,,0
91,61,F,23,140,0
92,66,F,18,115,0
93,66,F,18,150,0
94,62,F,48,200,1
95,70,M,20,185,1
96,66,F,20,120,0
97,70,M,21,150,0
98,71,M,21,220,1
99,76,M,19,225,1
100,61,F,20,102,0
101,79,M,18,120,1
102,71,M,21,165,0
103,67,M,20,135,0
104,69,M,21,125,0
105,71,M,18,140,0
106,68,M,18,170,0
107,74,M,20,215,0
108,73,M,20,150,0
109,70,M,18,140,0
110,66,M,21,150,0
111,69,M,19,125,0
112,,M,18,175,0
113,66.5,F,19,140,0
114,73,M,19,142,1
115,69,M,19,150,0
116,60.5,F,19,,0
117,64,F,20,135,0
118,70,F,47,150,0
119,69,M,41,150,0
120,65,F,18,116,0
121,69,M,18,150,0
122,67,F,18,,1
123,68,F,24,143,1
124,68,M,19,156,0
125,60,M,45,200,0
126,61,F,21,114,0
127,75,M,20,240,1
128,74,M,18,215,0
129,74,M,18,175,0
130,63,M,20,160,0
131,69,M,18,158,0
132,68,M,21,175,0
133,73,M,20,170,0
134,69,,19,140,0
135,66,M,30,130,1
136,59,F,19,95,0
137,65,F,19,112,0
138,63,F,19,115,0
139,62,F,19,120,1
140,73,M,19,185,0
141,71,F,19,185,0
142,69,M,19,130,0
143,63,F,18,,0
144,71,M,18,160,0
145,77,M,18,225,0
146,72,M,19,180,0
147,63,F,18,135,0
148,68,F,19,145,0
149,65,F,19,125,0
150,69,M,21,190,0
151,64,F,23,115,0
152,66,M,21,135,0
153,75,M,21,170,0
154,73,M,20,160,0
155,67,M,19,135,0
156,66,M,20,165,1
157,72,M,20,165,0
158,67,M,20,135,0
159,74,M,20,180,0
160,69,M,20,160,0
161,73,M,20,180,0
162,70,M,20,150,1
163,67,F,20,105,0
164,61,F,22,165,1
165,72,M,18,180,0
166,,M,18,,0
167,69,M,21,180,0
168,68,F,19,150,0
169,70,M,21,185,0
170,66,F,19,122,0
171,61,F,19,108,0
172,71,M,20,180,0
173,67,M,19,140,0
174,73,M,18,180,0
175,66,M,50,180,0
176,66,F,19,145,1
176,73,M,22,185,0
176,73,M,21,190,0
177,64,F,21,130,0
178,60,F,20,130,0
179,68,M,20,140,0
180,74,M,46,225,0
181,72,M,19,159,0
182,70,,23,168,1
183,61,F,18,105,0
184,70,M,18,145,0
185,72,M,21,195,0
186,65,F,21,130,0
187,63,F,20,,0
188,72,M,18,175,
189,71,F,18,135,0
190,71,M,19,142,0
191,71,M,18,200,0
192,68,M,18,140,0
193,69,M,19,154,0
194,75,M,18,180,0
194,71,M,20,180,0
194,71,M,20,180,0
194,71,M,20,180,0
194,71,M,20,180,0
195,72,M,20,155,0
196,67,M,21,175,1
197,69,M,21,126,0
198,68,M,18,140,0
199,76,M,22,200,0
200,66,F,21,140,1
201,67,F,20,110,0
202,71,M,19,190,0
203,59,F,18,105,0
204,69,M,20,150,0
205,62,F,19,100,0
206,65,F,20,132,1
207,66,F,20,130,0
208,71,M,19,180,0
209,72,M,21,200,0
210,68,F,21,140,0
211,65.5,F,52,165,0
212,64,F,22,185,0
213,70,M,20,135,0
214,71,M,50,190,0
215,63,F,20,135,0
271,64,F,21,125,0
272,71,M,19,175,0
273,73,M,20,190,0
274,72,M,21,190,0
275,76,M,22,275,1
278,64,F,22,120,0
279,68,M,19,180,0
326,48,M,19,107,0
327,60,F,23,125,0
328,48,F,19,104,0
329,60,M,19,150,0
352,72,M,22,160,0
353,72,M,45,260,0
354,60,F,21,,0
355,60,M,18,135,0
356,60,F,21,140,0
357,60,F,20,125,0
358,60,F,20,145,1
359,60,F,20,105,0
360,60,F,20,100,0
361,60,F,20,101,0
362,60,F,20,140,0
363,60,F,20,140,0
364,72,M,22,155,0
365,60,F,19,125,0
366,60,M,21,135,0
367,72,M,20,170,0
368,60,M,31,168,0
369,60,F,19,142,0
370,72,M,20,160,0
371,60,F,20,132,1
731,72,M,21,225,0
732,72,M,22,275,0
733,72,M,19,155,0
734,72,M,18,175,0
735,60,M,20,120,
736,60,M,21,160,0
737,60,M,22,121,0
738,72,M,21,260,
739,60,M,20,150,0
740,60,F,19,150,
741,60,M,19,145,0
742,72,M,20,,1
743,72,M,20,144,1
744,60,M,19,153,0
745,72,M,20,135,0
746,60,M,20,190,0
747,60,F,25,,0
748,60,F,22,127,0
749,60,M,18,155,0
750,60,M,21,175,0
751,60,M,20,155,1
752,60,M,22,220,0
753,72,M,18,180,0
754,60,M,22,165,0
755,60,M,19,170,0
756,72,M,20,200,0
756,72,M,20,200,0
757,60,F,18,115,1
759,60,F,19,140,0
760,60,F,20,115,0
761,60,F,57,,1
762,60,,19,140,1
763,60,F,18,140,0
763,67,F,19,138,0
764,72,M,54,260,0
765,60,M,21,180,0
766,60,F,19,135,1
767,60,F,20,172,1
768,72,M,65,201,0
769,72,M,19,205,0
770,60,M,63,189,0
771,60,M,20,175,0
772,72,M,20,195,0
773,72,M,20,240,0
774,60,F,19,120,0
775,72,M,21,165,0
776,72,M,18,173,0
777,60,M,19,180,0
778,60,M,18,135,0
779,72,F,19,190,
780,60,F,20,175,0
781,60,,21,140,0
782,72,M,40,215,1
783,60,F,20,130,0
784,60,M,21,150,0
785,60,F,24,,0
786,60,M,20,170,0
787,60,M,19,130,0
788,60,F,19,120,0
789,60,M,19,195,0
790,72,M,18,185,0
791,60,F,18,110,0
792,60,F,19,125,1
793,72,M,22,220,1
794,60,F,18,150,0
795,60,F,19,175,0
796,60,M,20,160,0
797,60,F,19,102,0
798,60,M,22,155,0
799,60,F,19,268,0
800,60,F,20,120,0
801,72,M,19,160,0
802,60,M,18,170,0
803,72,M,19,165,0
1017,65,F,54,170,0
1018,68,M,51,280,0
1019,60,F,47,145,0
1020,63,F,18,112,
1021,,M,54,155,0
1022,69,M,51,190,0
1023,68,M,53,180,1
1024,69,M,19,200,0
1025,73,M,20,205,0
1026,68,F,22,150,1
1027,68,M,59,180,0
1028,65,F,18,140,0
1029,64,F,53,130,0
1030,74,M,48,200,0
1031,70,M,51,170,0
1032,63,F,50,130,0
1033,0,M,53,,0
1034,68,M,59,180,1
1035,68,M,50,,
1036,66,M,18,190,0
1037,70,F,18,145,0
1038,68,F,48,150,1
1039,69,M,18,160,0
1040,69,M,21,150,0
1042,70,M,22,160,0
1043,67,M,19,150,0
1044,73,M,18,195,0
1045,63,F,20,,0
1046,61,F,20,105,
1047,71,M,18,150,0
1048,,M,21,,0
1049,68,M,19,145,0
1050,62,F,21,120,0
1051,71,F,21,160,0
1052,71,M,20,150,0
1053,70,F,22,150,1
1054,67,M,22,135,0
1055,67,M,19,148,0
1056,69,M,21,195,0
1057,72,M,21,225,0
1058,70,M,20,140,0
1059,74,M,18,185,0
1060,70,M,46,185,0
1061,68,M,55,169,0
1062,0,,,,
1062,73,M,19,160,0
1062,73,M,19,160,0
1063,70,M,22,180,1
1064,71,M,19,152,0
1064,70,,20,150,
1064,70,M,21,165,0
